[libx264 @ 0xaaab05600cf0] using cpu capabilities: ARMv8 NEON
[libx264 @ 0xaaab05600cf0] profile High, level 3.0
pts:28672 pts_time:2.24 dts:26112 dts_time:2.04 duration:0 duration_time:0 stream_index:0
pts:27648 pts_time:2.16 dts:26624 dts_time:2.08 duration:0 duration_time:0 stream_index:0
pts:27136 pts_time:2.12 dts:27136 dts_time:2.12 duration:0 duration_time:0 stream_index:0
pts:28160 pts_time:2.2 dts:27648 dts_time:2.16 duration:0 duration_time:0 stream_index:0
pts:29184 pts_time:2.28 dts:28160 dts_time:2.2 duration:0 duration_time:0 stream_index:0
pts:30208 pts_time:2.36 dts:28672 dts_time:2.24 duration:0 duration_time:0 stream_index:0
pts:29696 pts_time:2.32 dts:29184 dts_time:2.28 duration:0 duration_time:0 stream_index:0
pts:30720 pts_time:2.4 dts:29696 dts_time:2.32 duration:0 duration_time:0 stream_index:0
pts:32768 pts_time:2.56 dts:30208 dts_time:2.36 duration:0 duration_time:0 stream_index:0
pts:31744 pts_time:2.48 dts:30720 dts_time:2.4 duration:0 duration_time:0 stream_index:0
pts:31232 pts_time:2.44 dts:31232 dts_time:2.44 duration:0 duration_time:0 stream_index:0
pts:32256 pts_time:2.52 dts:31744 dts_time:2.48 duration:0 duration_time:0 stream_index:0
pts:33792 pts_time:2.64 dts:32256 dts_time:2.52 duration:0 duration_time:0 stream_index:0
pts:33280 pts_time:2.6 dts:32768 dts_time:2.56 duration:0 duration_time:0 stream_index:0
pts:35840 pts_time:2.8 dts:33280 dts_time:2.6 duration:0 duration_time:0 stream_index:0
pts:34816 pts_time:2.72 dts:33792 dts_time:2.64 duration:0 duration_time:0 stream_index:0
pts:34304 pts_time:2.68 dts:34304 dts_time:2.68 duration:0 duration_time:0 stream_index:0
pts:35328 pts_time:2.76 dts:34816 dts_time:2.72 duration:0 duration_time:0 stream_index:0
pts:36352 pts_time:2.84 dts:35328 dts_time:2.76 duration:0 duration_time:0 stream_index:0
pts:36864 pts_time:2.88 dts:35840 dts_time:2.8 duration:0 duration_time:0 stream_index:0
pts:38912 pts_time:3.04 dts:36352 dts_time:2.84 duration:0 duration_time:0 stream_index:0
pts:37888 pts_time:2.96 dts:36864 dts_time:2.88 duration:0 duration_time:0 stream_index:0
pts:37376 pts_time:2.92 dts:37376 dts_time:2.92 duration:0 duration_time:0 stream_index:0
pts:38400 pts_time:3 dts:37888 dts_time:2.96 duration:0 duration_time:0 stream_index:0
pts:40960 pts_time:3.2 dts:38400 dts_time:3 duration:0 duration_time:0 stream_index:0
pts:39936 pts_time:3.12 dts:38912 dts_time:3.04 duration:0 duration_time:0 stream_index:0
pts:39424 pts_time:3.08 dts:39424 dts_time:3.08 duration:0 duration_time:0 stream_index:0
pts:40448 pts_time:3.16 dts:39936 dts_time:3.12 duration:0 duration_time:0 stream_index:0
pts:42496 pts_time:3.32 dts:40448 dts_time:3.16 duration:0 duration_time:0 stream_index:0
pts:41472 pts_time:3.24 dts:40960 dts_time:3.2 duration:0 duration_time:0 stream_index:0
pts:41984 pts_time:3.28 dts:41472 dts_time:3.24 duration:0 duration_time:0 stream_index:0
pts:43008 pts_time:3.36 dts:41984 dts_time:3.28 duration:0 duration_time:0 stream_index:0
pts:45056 pts_time:3.52 dts:42496 dts_time:3.32 duration:0 duration_time:0 stream_index:0
pts:44032 pts_time:3.44 dts:43008 dts_time:3.36 duration:0 duration_time:0 stream_index:0
pts:43520 pts_time:3.4 dts:43520 dts_time:3.4 duration:0 duration_time:0 stream_index:0
pts:44544 pts_time:3.48 dts:44032 dts_time:3.44 duration:0 duration_time:0 stream_index:0
pts:46592 pts_time:3.64 dts:44544 dts_time:3.48 duration:0 duration_time:0 stream_index:0
pts:45568 pts_time:3.56 dts:45056 dts_time:3.52 duration:0 duration_time:0 stream_index:0
pts:46080 pts_time:3.6 dts:45568 dts_time:3.56 duration:0 duration_time:0 stream_index:0
pts:48640 pts_time:3.8 dts:46080 dts_time:3.6 duration:0 duration_time:0 stream_index:0
pts:47616 pts_time:3.72 dts:46592 dts_time:3.64 duration:0 duration_time:0 stream_index:0
pts:47104 pts_time:3.68 dts:47104 dts_time:3.68 duration:0 duration_time:0 stream_index:0
pts:48128 pts_time:3.76 dts:47616 dts_time:3.72 duration:0 duration_time:0 stream_index:0
pts:49152 pts_time:3.84 dts:48128 dts_time:3.76 duration:0 duration_time:0 stream_index:0
pts:51200 pts_time:4 dts:48640 dts_time:3.8 duration:0 duration_time:0 stream_index:0
