pts:29696 pts_time:0.673379 dts:29696 dts_time:0.673379 duration:1024 duration_time:0.02322 stream_index:1
pts:30720 pts_time:0.696599 dts:30720 dts_time:0.696599 duration:1024 duration_time:0.02322 stream_index:1
pts:31744 pts_time:0.719819 dts:31744 dts_time:0.719819 duration:1024 duration_time:0.02322 stream_index:1
pts:32768 pts_time:0.743039 dts:32768 dts_time:0.743039 duration:1024 duration_time:0.02322 stream_index:1
pts:33792 pts_time:0.766259 dts:33792 dts_time:0.766259 duration:1024 duration_time:0.02322 stream_index:1
pts:34816 pts_time:0.789478 dts:34816 dts_time:0.789478 duration:1024 duration_time:0.02322 stream_index:1
pts:35840 pts_time:0.812698 dts:35840 dts_time:0.812698 duration:1024 duration_time:0.02322 stream_index:1
pts:36864 pts_time:0.835918 dts:36864 dts_time:0.835918 duration:1024 duration_time:0.02322 stream_index:1
pts:37888 pts_time:0.859138 dts:37888 dts_time:0.859138 duration:1024 duration_time:0.02322 stream_index:1
pts:38912 pts_time:0.882358 dts:38912 dts_time:0.882358 duration:1024 duration_time:0.02322 stream_index:1
pts:39936 pts_time:0.905578 dts:39936 dts_time:0.905578 duration:1024 duration_time:0.02322 stream_index:1
pts:40960 pts_time:0.928798 dts:40960 dts_time:0.928798 duration:1024 duration_time:0.02322 stream_index:1
pts:41984 pts_time:0.952018 dts:41984 dts_time:0.952018 duration:1024 duration_time:0.02322 stream_index:1
pts:43008 pts_time:0.975238 dts:43008 dts_time:0.975238 duration:1024 duration_time:0.02322 stream_index:1
pts:44032 pts_time:0.998458 dts:44032 dts_time:0.998458 duration:1024 duration_time:0.02322 stream_index:1
pts:45056 pts_time:1.02168 dts:45056 dts_time:1.02168 duration:1024 duration_time:0.02322 stream_index:1
pts:46080 pts_time:1.0449 dts:46080 dts_time:1.0449 duration:1024 duration_time:0.02322 stream_index:1
pts:47104 pts_time:1.06812 dts:47104 dts_time:1.06812 duration:1024 duration_time:0.02322 stream_index:1
pts:48128 pts_time:1.09134 dts:48128 dts_time:1.09134 duration:1024 duration_time:0.02322 stream_index:1
pts:49152 pts_time:1.11456 dts:49152 dts_time:1.11456 duration:1024 duration_time:0.02322 stream_index:1
pts:50176 pts_time:1.13778 dts:50176 dts_time:1.13778 duration:1024 duration_time:0.02322 stream_index:1
pts:51200 pts_time:1.161 dts:51200 dts_time:1.161 duration:1024 duration_time:0.02322 stream_index:1
pts:52224 pts_time:1.18422 dts:52224 dts_time:1.18422 duration:1024 duration_time:0.02322 stream_index:1
pts:0 pts_time:0 dts:-1024 dts_time:-0.08 duration:0 duration_time:0 stream_index:0
pts:53248 pts_time:1.20744 dts:53248 dts_time:1.20744 duration:1024 duration_time:0.02322 stream_index:1
pts:54272 pts_time:1.23066 dts:54272 dts_time:1.23066 duration:1024 duration_time:0.02322 stream_index:1
pts:512 pts_time:0.04 dts:-512 dts_time:-0.04 duration:0 duration_time:0 stream_index:0
pts:55296 pts_time:1.25388 dts:55296 dts_time:1.25388 duration:1024 duration_time:0.02322 stream_index:1
pts:2560 pts_time:0.2 dts:0 dts_time:0 duration:0 duration_time:0 stream_index:0
pts:56320 pts_time:1.2771 dts:56320 dts_time:1.2771 duration:1024 duration_time:0.02322 stream_index:1
pts:57344 pts_time:1.30032 dts:57344 dts_time:1.30032 duration:1024 duration_time:0.02322 stream_index:1
pts:1536 pts_time:0.12 dts:512 dts_time:0.04 duration:0 duration_time:0 stream_index:0
pts:58368 pts_time:1.32354 dts:58368 dts_time:1.32354 duration:1024 duration_time:0.02322 stream_index:1
pts:59392 pts_time:1.34676 dts:59392 dts_time:1.34676 duration:1024 duration_time:0.02322 stream_index:1
pts:1024 pts_time:0.08 dts:1024 dts_time:0.08 duration:0 duration_time:0 stream_index:0
pts:60416 pts_time:1.36998 dts:60416 dts_time:1.36998 duration:1024 duration_time:0.02322 stream_index:1
pts:61440 pts_time:1.3932 dts:61440 dts_time:1.3932 duration:1024 duration_time:0.02322 stream_index:1
pts:2048 pts_time:0.16 dts:1536 dts_time:0.12 duration:0 duration_time:0 stream_index:0
pts:62464 pts_time:1.41642 dts:62464 dts_time:1.41642 duration:1024 duration_time:0.02322 stream_index:1
pts:3584 pts_time:0.28 dts:2048 dts_time:0.16 duration:0 duration_time:0 stream_index:0
pts:63488 pts_time:1.43964 dts:63488 dts_time:1.43964 duration:1024 duration_time:0.02322 stream_index:1
pts:64512 pts_time:1.46286 dts:64512 dts_time:1.46286 duration:1024 duration_time:0.02322 stream_index:1
pts:3072 pts_time:0.24 dts:2560 dts_time:0.2 duration:0 duration_time:0 stream_index:0
pts:65536 pts_time:1.48608 dts:65536 dts_time:1.48608 duration:1024 duration_time:0.02322 stream_index:1
pts:66560 pts_time:1.5093 dts:66560 dts_time:1.5093 duration:1024 duration_time:0.02322 stream_index:1
pts:5120 pts_time:0.4 dts:3072 dts_time:0.24 duration:0 duration_time:0 stream_index:0
pts:67584 pts_time:1.53252 dts:67584 dts_time:1.53252 duration:1024 duration_time:0.02322 stream_index:1
pts:4096 pts_time:0.32 dts:3584 dts_time:0.28 duration:0 duration_time:0 stream_index:0
pts:68608 pts_time:1.55574 dts:68608 dts_time:1.55574 duration:1024 duration_time:0.02322 stream_index:1
pts:69632 pts_time:1.57896 dts:69632 dts_time:1.57896 duration:1024 duration_time:0.02322 stream_index:1
pts:4608 pts_time:0.36 dts:4096 dts_time:0.32 duration:0 duration_time:0 stream_index:0
pts:70656 pts_time:1.60218 dts:70656 dts_time:1.60218 duration:1024 duration_time:0.02322 stream_index:1
pts:71680 pts_time:1.6254 dts:71680 dts_time:1.6254 duration:1024 duration_time:0.02322 stream_index:1
pts:5632 pts_time:0.44 dts:4608 dts_time:0.36 duration:0 duration_time:0 stream_index:0
pts:72704 pts_time:1.64862 dts:72704 dts_time:1.64862 duration:1024 duration_time:0.02322 stream_index:1
pts:73728 pts_time:1.67184 dts:73728 dts_time:1.67184 duration:1024 duration_time:0.02322 stream_index:1
pts:6144 pts_time:0.48 dts:5120 dts_time:0.4 duration:0 duration_time:0 stream_index:0
