运行 java测试 案例 com.example.demo.FFmpegJNITest
sbc run -t -v /home/user/JAVA-TEST/java-rtf-test/ffmpeg/files:/tmp@/home/user/JAVA-TEST/java-rtf-test/rmi.sh:/opt/app/lib/logback-classic-1.2.3.jar@/home/user/JAVA-TEST/java-rtf-test/test-classes/com:/opt/app/test-classes/com -p docker.bplatform.demo/java_rtf_ft:2.1 docker.bplatform.demo/java_rtf_test_all:1.0  /opt/app/runTest com.example.demo.FFmpegJNITest encode_audio /tmp/03.pcm /tmp/04.aac
TEST_DIR=/opt/app
/usr/lib/jvm/java-11-openjdk-arm64/bin/java -classpath /opt/app/lib/*:/opt/app/classes:/opt/app/test-classes com.example.demo.FFmpegJNITest encode_audio /tmp/03.pcm /tmp/04.aac
音频编码
Output #0, adts, to '/tmp/04.aac':
    Stream #0:0: Audio: aac (LC), 44100 Hz, stereo, fltp, 64 kb/s
pts:49152 pts_time:1.11456 dts:49152 dts_time:1.11456 duration:1024 duration_time:0.02322 stream_index:0
pts:50176 pts_time:1.13778 dts:50176 dts_time:1.13778 duration:1024 duration_time:0.02322 stream_index:0
pts:51200 pts_time:1.161 dts:51200 dts_time:1.161 duration:1024 duration_time:0.02322 stream_index:0
pts:52224 pts_time:1.18422 dts:52224 dts_time:1.18422 duration:1024 duration_time:0.02322 stream_index:0
pts:53248 pts_time:1.20744 dts:53248 dts_time:1.20744 duration:1024 duration_time:0.02322 stream_index:0
pts:54272 pts_time:1.23066 dts:54272 dts_time:1.23066 duration:1024 duration_time:0.02322 stream_index:0
pts:55296 pts_time:1.25388 dts:55296 dts_time:1.25388 duration:1024 duration_time:0.02322 stream_index:0
pts:56320 pts_time:1.2771 dts:56320 dts_time:1.2771 duration:1024 duration_time:0.02322 stream_index:0
pts:57344 pts_time:1.30032 dts:57344 dts_time:1.30032 duration:1024 duration_time:0.02322 stream_index:0
pts:58368 pts_time:1.32354 dts:58368 dts_time:1.32354 duration:1024 duration_time:0.02322 stream_index:0
pts:59392 pts_time:1.34676 dts:59392 dts_time:1.34676 duration:1024 duration_time:0.02322 stream_index:0
pts:60416 pts_time:1.36998 dts:60416 dts_time:1.36998 duration:1024 duration_time:0.02322 stream_index:0
pts:61440 pts_time:1.3932 dts:61440 dts_time:1.3932 duration:1024 duration_time:0.02322 stream_index:0
pts:62464 pts_time:1.41642 dts:62464 dts_time:1.41642 duration:1024 duration_time:0.02322 stream_index:0
pts:63488 pts_time:1.43964 dts:63488 dts_time:1.43964 duration:1024 duration_time:0.02322 stream_index:0
pts:64512 pts_time:1.46286 dts:64512 dts_time:1.46286 duration:1024 duration_time:0.02322 stream_index:0
pts:65536 pts_time:1.48608 dts:65536 dts_time:1.48608 duration:1024 duration_time:0.02322 stream_index:0
pts:66560 pts_time:1.5093 dts:66560 dts_time:1.5093 duration:1024 duration_time:0.02322 stream_index:0
pts:67584 pts_time:1.53252 dts:67584 dts_time:1.53252 duration:1024 duration_time:0.02322 stream_index:0
pts:68608 pts_time:1.55574 dts:68608 dts_time:1.55574 duration:1024 duration_time:0.02322 stream_index:0
pts:69632 pts_time:1.57896 dts:69632 dts_time:1.57896 duration:1024 duration_time:0.02322 stream_index:0
pts:70656 pts_time:1.60218 dts:70656 dts_time:1.60218 duration:1024 duration_time:0.02322 stream_index:0
pts:71680 pts_time:1.6254 dts:71680 dts_time:1.6254 duration:1024 duration_time:0.02322 stream_index:0
pts:72704 pts_time:1.64862 dts:72704 dts_time:1.64862 duration:1024 duration_time:0.02322 stream_index:0
pts:73728 pts_time:1.67184 dts:73728 dts_time:1.67184 duration:1024 duration_time:0.02322 stream_index:0
pts:74752 pts_time:1.69506 dts:74752 dts_time:1.69506 duration:1024 duration_time:0.02322 stream_index:0
pts:75776 pts_time:1.71828 dts:75776 dts_time:1.71828 duration:1024 duration_time:0.02322 stream_index:0
pts:76800 pts_time:1.7415 dts:76800 dts_time:1.7415 duration:1024 duration_time:0.02322 stream_index:0
pts:77824 pts_time:1.76472 dts:77824 dts_time:1.76472 duration:1024 duration_time:0.02322 stream_index:0
pts:78848 pts_time:1.78794 dts:78848 dts_time:1.78794 duration:1024 duration_time:0.02322 stream_index:0
pts:79872 pts_time:1.81116 dts:79872 dts_time:1.81116 duration:1024 duration_time:0.02322 stream_index:0
pts:80896 pts_time:1.83438 dts:80896 dts_time:1.83438 duration:1024 duration_time:0.02322 stream_index:0
pts:81920 pts_time:1.8576 dts:81920 dts_time:1.8576 duration:1024 duration_time:0.02322 stream_index:0
pts:82944 pts_time:1.88082 dts:82944 dts_time:1.88082 duration:1024 duration_time:0.02322 stream_index:0
pts:83968 pts_time:1.90404 dts:83968 dts_time:1.90404 duration:1024 duration_time:0.02322 stream_index:0
pts:84992 pts_time:1.92726 dts:84992 dts_time:1.92726 duration:1024 duration_time:0.02322 stream_index:0
pts:86016 pts_time:1.95048 dts:86016 dts_time:1.95048 duration:1024 duration_time:0.02322 stream_index:0
pts:87040 pts_time:1.9737 dts:87040 dts_time:1.9737 duration:1024 duration_time:0.02322 stream_index:0
pts:88064 pts_time:1.99692 dts:88064 dts_time:1.99692 duration:1024 duration_time:0.02322 stream_index:0
pts:89088 pts_time:2.02014 dts:89088 dts_time:2.02014 duration:1024 duration_time:0.02322 stream_index:0
pts:90112 pts_time:2.04336 dts:90112 dts_time:2.04336 duration:1024 duration_time:0.02322 stream_index:0
pts:91136 pts_time:2.06658 dts:91136 dts_time:2.06658 duration:1024 duration_time:0.02322 stream_index:0
pts:92160 pts_time:2.0898 dts:92160 dts_time:2.0898 duration:1024 duration_time:0.02322 stream_index:0
pts:93184 pts_time:2.11302 dts:93184 dts_time:2.11302 duration:1024 duration_time:0.02322 stream_index:0
pts:94208 pts_time:2.13624 dts:94208 dts_time:2.13624 duration:1024 duration_time:0.02322 stream_index:0
pts:95232 pts_time:2.15946 dts:95232 dts_time:2.15946 duration:1024 duration_time:0.02322 stream_index:0
pts:96256 pts_time:2.18268 dts:96256 dts_time:2.18268 duration:1024 duration_time:0.02322 stream_index:0
pts:97280 pts_time:2.2059 dts:97280 dts_time:2.2059 duration:1024 duration_time:0.02322 stream_index:0
pts:98304 pts_time:2.22912 dts:98304 dts_time:2.22912 duration:1024 duration_time:0.02322 stream_index:0
pts:99328 pts_time:2.25234 dts:99328 dts_time:2.25234 duration:1024 duration_time:0.02322 stream_index:0
pts:100352 pts_time:2.27556 dts:100352 dts_time:2.27556 duration:1024 duration_time:0.02322 stream_index:0
pts:101376 pts_time:2.29878 dts:101376 dts_time:2.29878 duration:1024 duration_time:0.02322 stream_index:0
pts:102400 pts_time:2.322 dts:102400 dts_time:2.322 duration:1024 duration_time:0.02322 stream_index:0
pts:103424 pts_time:2.34522 dts:103424 dts_time:2.34522 duration:1024 duration_time:0.02322 stream_index:0
pts:104448 pts_time:2.36844 dts:104448 dts_time:2.36844 duration:1024 duration_time:0.02322 stream_index:0
pts:105472 pts_time:2.39166 dts:105472 dts_time:2.39166 duration:1024 duration_time:0.02322 stream_index:0
pts:106496 pts_time:2.41488 dts:106496 dts_time:2.41488 duration:1024 duration_time:0.02322 stream_index:0
pts:107520 pts_time:2.4381 dts:107520 dts_time:2.4381 duration:1024 duration_time:0.02322 stream_index:0
pts:108544 pts_time:2.46132 dts:108544 dts_time:2.46132 duration:1024 duration_time:0.02322 stream_index:0
pts:109568 pts_time:2.48454 dts:109568 dts_time:2.48454 duration:1024 duration_time:0.02322 stream_index:0
pts:110592 pts_time:2.50776 dts:110592 dts_time:2.50776 duration:1024 duration_time:0.02322 stream_index:0
pts:111616 pts_time:2.53098 dts:111616 dts_time:2.53098 duration:1024 duration_time:0.02322 stream_index:0
pts:112640 pts_time:2.5542 dts:112640 dts_time:2.5542 duration:1024 duration_time:0.02322 stream_index:0
pts:113664 pts_time:2.57741 dts:113664 dts_time:2.57741 duration:1024 duration_time:0.02322 stream_index:0
pts:114688 pts_time:2.60063 dts:114688 dts_time:2.60063 duration:1024 duration_time:0.02322 stream_index:0
pts:115712 pts_time:2.62385 dts:115712 dts_time:2.62385 duration:1024 duration_time:0.02322 stream_index:0
pts:116736 pts_time:2.64707 dts:116736 dts_time:2.64707 duration:1024 duration_time:0.02322 stream_index:0
pts:117760 pts_time:2.67029 dts:117760 dts_time:2.67029 duration:1024 duration_time:0.02322 stream_index:0
pts:118784 pts_time:2.69351 dts:118784 dts_time:2.69351 duration:1024 duration_time:0.02322 stream_index:0
pts:119808 pts_time:2.71673 dts:119808 dts_time:2.71673 duration:1024 duration_time:0.02322 stream_index:0
pts:120832 pts_time:2.73995 dts:120832 dts_time:2.73995 duration:1024 duration_time:0.02322 stream_index:0
pts:121856 pts_time:2.76317 dts:121856 dts_time:2.76317 duration:1024 duration_time:0.02322 stream_index:0
pts:122880 pts_time:2.78639 dts:122880 dts_time:2.78639 duration:1024 duration_time:0.02322 stream_index:0
pts:123904 pts_time:2.80961 dts:123904 dts_time:2.80961 duration:1024 duration_time:0.02322 stream_index:0
pts:124928 pts_time:2.83283 dts:124928 dts_time:2.83283 duration:1024 duration_time:0.02322 stream_index:0
pts:125952 pts_time:2.85605 dts:125952 dts_time:2.85605 duration:1024 duration_time:0.02322 stream_index:0
