[libx264 @ 0xaaaac2024d00] using cpu capabilities: ARMv8 NEON
[libx264 @ 0xaaaac2024d00] profile High, level 3.0
Output #0, h264, to '04.h264':
    Stream #0:0: Video: h264, yuv420p, 640x480, q=2-31, 400 kb/s, 25 tbn
视频编码
pts:88 pts_time:3.52 dts:83 dts_time:3.32 duration:0 duration_time:0 stream_index:0
pts:86 pts_time:3.44 dts:84 dts_time:3.36 duration:0 duration_time:0 stream_index:0
pts:85 pts_time:3.4 dts:85 dts_time:3.4 duration:0 duration_time:0 stream_index:0
pts:87 pts_time:3.48 dts:86 dts_time:3.44 duration:0 duration_time:0 stream_index:0
pts:92 pts_time:3.68 dts:87 dts_time:3.48 duration:0 duration_time:0 stream_index:0
pts:90 pts_time:3.6 dts:88 dts_time:3.52 duration:0 duration_time:0 stream_index:0
pts:89 pts_time:3.56 dts:89 dts_time:3.56 duration:0 duration_time:0 stream_index:0
pts:91 pts_time:3.64 dts:90 dts_time:3.6 duration:0 duration_time:0 stream_index:0
pts:95 pts_time:3.8 dts:91 dts_time:3.64 duration:0 duration_time:0 stream_index:0
pts:93 pts_time:3.72 dts:92 dts_time:3.68 duration:0 duration_time:0 stream_index:0
pts:94 pts_time:3.76 dts:93 dts_time:3.72 duration:0 duration_time:0 stream_index:0
pts:96 pts_time:3.84 dts:94 dts_time:3.76 duration:0 duration_time:0 stream_index:0
pts:100 pts_time:4 dts:95 dts_time:3.8 duration:0 duration_time:0 stream_index:0
pts:98 pts_time:3.92 dts:96 dts_time:3.84 duration:0 duration_time:0 stream_index:0
pts:97 pts_time:3.88 dts:97 dts_time:3.88 duration:0 duration_time:0 stream_index:0
pts:99 pts_time:3.96 dts:98 dts_time:3.92 duration:0 duration_time:0 stream_index:0
pts:101 pts_time:4.04 dts:99 dts_time:3.96 duration:0 duration_time:0 stream_index:0
pts:104 pts_time:4.16 dts:100 dts_time:4 duration:0 duration_time:0 stream_index:0
pts:102 pts_time:4.08 dts:101 dts_time:4.04 duration:0 duration_time:0 stream_index:0
pts:103 pts_time:4.12 dts:102 dts_time:4.08 duration:0 duration_time:0 stream_index:0
pts:106 pts_time:4.24 dts:103 dts_time:4.12 duration:0 duration_time:0 stream_index:0
pts:105 pts_time:4.2 dts:104 dts_time:4.16 duration:0 duration_time:0 stream_index:0
pts:108 pts_time:4.32 dts:105 dts_time:4.2 duration:0 duration_time:0 stream_index:0
pts:107 pts_time:4.28 dts:106 dts_time:4.24 duration:0 duration_time:0 stream_index:0
pts:109 pts_time:4.36 dts:107 dts_time:4.28 duration:0 duration_time:0 stream_index:0
pts:111 pts_time:4.44 dts:108 dts_time:4.32 duration:0 duration_time:0 stream_index:0
pts:110 pts_time:4.4 dts:109 dts_time:4.36 duration:0 duration_time:0 stream_index:0
pts:112 pts_time:4.48 dts:110 dts_time:4.4 duration:0 duration_time:0 stream_index:0
pts:113 pts_time:4.52 dts:111 dts_time:4.44 duration:0 duration_time:0 stream_index:0
pts:115 pts_time:4.6 dts:112 dts_time:4.48 duration:0 duration_time:0 stream_index:0
pts:114 pts_time:4.56 dts:113 dts_time:4.52 duration:0 duration_time:0 stream_index:0
pts:119 pts_time:4.76 dts:114 dts_time:4.56 duration:0 duration_time:0 stream_index:0
pts:117 pts_time:4.68 dts:115 dts_time:4.6 duration:0 duration_time:0 stream_index:0
pts:116 pts_time:4.64 dts:116 dts_time:4.64 duration:0 duration_time:0 stream_index:0
pts:118 pts_time:4.72 dts:117 dts_time:4.68 duration:0 duration_time:0 stream_index:0
pts:121 pts_time:4.84 dts:118 dts_time:4.72 duration:0 duration_time:0 stream_index:0
pts:120 pts_time:4.8 dts:119 dts_time:4.76 duration:0 duration_time:0 stream_index:0
pts:122 pts_time:4.88 dts:120 dts_time:4.8 duration:0 duration_time:0 stream_index:0
pts:123 pts_time:4.92 dts:121 dts_time:4.84 duration:0 duration_time:0 stream_index:0
pts:124 pts_time:4.96 dts:122 dts_time:4.88 duration:0 duration_time:0 stream_index:0
pts:125 pts_time:5 dts:123 dts_time:4.92 duration:0 duration_time:0 stream_index:0
pts:126 pts_time:5.04 dts:124 dts_time:4.96 duration:0 duration_time:0 stream_index:0
pts:127 pts_time:5.08 dts:125 dts_time:5 duration:0 duration_time:0 stream_index:0
pts:128 pts_time:5.12 dts:126 dts_time:5.04 duration:0 duration_time:0 stream_index:0
pts:129 pts_time:5.16 dts:127 dts_time:5.08 duration:0 duration_time:0 stream_index:0
pts:130 pts_time:5.2 dts:128 dts_time:5.12 duration:0 duration_time:0 stream_index:0
pts:131 pts_time:5.24 dts:129 dts_time:5.16 duration:0 duration_time:0 stream_index:0
pts:133 pts_time:5.32 dts:130 dts_time:5.2 duration:0 duration_time:0 stream_index:0
pts:132 pts_time:5.28 dts:131 dts_time:5.24 duration:0 duration_time:0 stream_index:0
pts:134 pts_time:5.36 dts:132 dts_time:5.28 duration:0 duration_time:0 stream_index:0
pts:136 pts_time:5.44 dts:133 dts_time:5.32 duration:0 duration_time:0 stream_index:0
pts:135 pts_time:5.4 dts:134 dts_time:5.36 duration:0 duration_time:0 stream_index:0
pts:137 pts_time:5.48 dts:135 dts_time:5.4 duration:0 duration_time:0 stream_index:0
pts:138 pts_time:5.52 dts:136 dts_time:5.44 duration:0 duration_time:0 stream_index:0
pts:139 pts_time:5.56 dts:137 dts_time:5.48 duration:0 duration_time:0 stream_index:0
pts:140 pts_time:5.6 dts:138 dts_time:5.52 duration:0 duration_time:0 stream_index:0
pts:141 pts_time:5.64 dts:139 dts_time:5.56 duration:0 duration_time:0 stream_index:0
pts:142 pts_time:5.68 dts:140 dts_time:5.6 duration:0 duration_time:0 stream_index:0
pts:145 pts_time:5.8 dts:141 dts_time:5.64 duration:0 duration_time:0 stream_index:0
pts:143 pts_time:5.72 dts:142 dts_time:5.68 duration:0 duration_time:0 stream_index:0
pts:144 pts_time:5.76 dts:143 dts_time:5.72 duration:0 duration_time:0 stream_index:0
pts:147 pts_time:5.88 dts:144 dts_time:5.76 duration:0 duration_time:0 stream_index:0
pts:146 pts_time:5.84 dts:145 dts_time:5.8 duration:0 duration_time:0 stream_index:0
pts:148 pts_time:5.92 dts:146 dts_time:5.84 duration:0 duration_time:0 stream_index:0
